"Deep Learning Agent (0)","Deep Learning Agent (136)"
"-629.0","1182.0"
"-630.0","1182.0"
"-631.0","1182.0"
"-632.0","1182.0"
"-633.0","1182.0"
"-634.0","1182.0"
"-635.0","1182.0"
"-636.0","1182.0"
"-637.0","1182.0"
"-638.0","1182.0"
"-639.0","1182.0"
"-640.0","1182.0"
"-641.0","1182.0"
"-642.0","1182.0"
"-643.0","1182.0"
"-644.0","1182.0"
"-645.0","1182.0"
"-646.0","1181.0"
"-647.0","1180.0"
"-648.0","1179.0"
"-649.0","1178.0"
"-650.0","1177.0"
"-651.0","1176.0"
"-652.0","1176.0"
"-653.0","1176.0"
"-654.0","1176.0"
"-655.0","1176.0"
"-656.0","1176.0"
"-657.0","1175.0"
"-658.0","1174.0"
"-659.0","1173.0"
"-660.0","1172.0"
"-661.0","1171.0"
"-662.0","1170.0"
"-663.0","1169.0"
"-664.0","1168.0"
"-665.0","1167.0"
"-666.0","1166.0"
"-667.0","1165.0"
"-668.0","1165.0"
"-669.0","1164.0"
"-670.0","1163.0"
"-671.0","1162.0"
"-672.0","1161.0"
"-673.0","1160.0"
"-674.0","1159.0"
"-675.0","1158.0"
"-676.0","1157.0"
"-677.0","1156.0"
"-678.0","1155.0"
"-679.0","1154.0"
"-680.0","1153.0"
"-681.0","1152.0"
"-682.0","1151.0"
"-683.0","1150.0"
"-684.0","1149.0"
"-685.0","1148.0"
"-686.0","1147.0"
"-687.0","1146.0"
"-688.0","1145.0"
"-689.0","1144.0"
"-690.0","1143.0"
"-691.0","1142.0"
"-692.0","1141.0"
"-693.0","1140.0"
"-694.0","1139.0"
"-695.0","1138.0"
"-696.0","1137.0"
"-697.0","1136.0"
"-698.0","1135.0"
"-699.0","1134.0"
"-700.0","1133.0"
"-701.0","1132.0"
"-702.0","1131.0"
"-703.0","1130.0"
"-704.0","1129.0"
"-705.0","1128.0"
"-706.0","1127.0"
"-707.0","1126.0"
"-708.0","1125.0"
"-709.0","1124.0"
"-710.0","1123.0"
"-711.0","1122.0"
"-712.0","1122.0"
"-713.0","1121.0"
"-714.0","1120.0"
"-715.0","1119.0"
"-716.0","1118.0"
"-717.0","1117.0"
"-718.0","1116.0"
"-719.0","1115.0"
"-720.0","1114.0"
"-721.0","1113.0"
"-722.0","1112.0"
"-723.0","1111.0"
"-724.0","1110.0"
"-725.0","1109.0"
"-726.0","1108.0"
"-727.0","1107.0"
"-728.0","1106.0"
"-729.0","1105.0"
"-730.0","1104.0"
"-731.0","1103.0"
"-732.0","1102.0"
"-733.0","1101.0"
"-734.0","1100.0"
"-735.0","1099.0"
"-736.0","1098.0"
"-737.0","1097.0"
"-738.0","1097.0"
"-739.0","1097.0"
"-740.0","1097.0"
"-741.0","1097.0"
"-742.0","1097.0"
"-743.0","1097.0"
"-744.0","1097.0"
"-745.0","1097.0"
"-746.0","1097.0"
"-747.0","1097.0"
"-748.0","1097.0"
"-749.0","1097.0"
"-750.0","1097.0"
"-751.0","1097.0"
"-752.0","1097.0"
"-753.0","1097.0"
"-754.0","1097.0"
"-755.0","1097.0"
"-756.0","1097.0"
"-757.0","1097.0"
"-758.0","1097.0"
"-759.0","1097.0"
"-760.0","1097.0"
"-761.0","1097.0"
"-762.0","1097.0"
"-763.0","1097.0"
"-764.0","1097.0"
"-765.0","1097.0"
"-766.0","1097.0"
"-767.0","1097.0"
"-768.0","1097.0"
"-769.0","1097.0"
"-770.0","1097.0"
"-771.0","1097.0"
"-772.0","1097.0"
"-773.0","1097.0"
"-774.0","1097.0"
"-775.0","1097.0"
"-776.0","1097.0"
"-777.0","1097.0"
"-778.0","1097.0"
"-779.0","1097.0"
"-780.0","1097.0"
"-781.0","1097.0"
"-782.0","1097.0"
"-783.0","1096.0"
"-784.0","1095.0"
"-785.0","1094.0"
"-786.0","1094.0"
"-787.0","1094.0"
"-788.0","1094.0"
"-789.0","1094.0"
"-790.0","1094.0"
"-791.0","1094.0"
"-792.0","1094.0"
"-793.0","1094.0"
"-794.0","1094.0"
"-795.0","1094.0"
"-796.0","1094.0"
"-797.0","1094.0"
"-798.0","1094.0"
"-799.0","1094.0"
"-800.0","1094.0"
"-801.0","1094.0"
"-802.0","1094.0"
"-803.0","1094.0"
"-804.0","1094.0"
"-805.0","1094.0"
"-806.0","1094.0"
"-807.0","1094.0"
"-808.0","1094.0"
"-809.0","1094.0"
"-810.0","1094.0"
"-811.0","1094.0"
"-812.0","1094.0"
"-813.0","1094.0"
"-814.0","1094.0"
"-815.0","1094.0"
"-816.0","1094.0"
"-817.0","1094.0"
"-818.0","1094.0"
"-819.0","1094.0"
"-820.0","1094.0"
"-821.0","1094.0"
"-822.0","1094.0"
"-823.0","1094.0"
"-824.0","1094.0"
"-825.0","1094.0"
"-826.0","1094.0"
"-827.0","1094.0"
"-828.0","1094.0"
"-829.0","1094.0"
"-830.0","1094.0"
"-831.0","1094.0"
"-832.0","1094.0"
"-833.0","1094.0"
"-834.0","1093.0"
"-835.0","1093.0"
"-836.0","1092.0"
"-837.0","1091.0"
"-838.0","1090.0"
"-839.0","1089.0"
"-840.0","1088.0"
"-841.0","1087.0"
"-842.0","1086.0"
"-843.0","1085.0"
"-844.0","1084.0"
"-845.0","1084.0"
"-846.0","1084.0"
"-847.0","1084.0"
"-848.0","1084.0"
"-849.0","1084.0"
"-850.0","1084.0"
"-851.0","1084.0"
"-852.0","1084.0"
"-853.0","1084.0"
"-854.0","1084.0"
"-855.0","1084.0"
"-856.0","1084.0"
"-857.0","1084.0"
"-858.0","1084.0"
"-859.0","1084.0"
"-860.0","1083.0"
"-861.0","1082.0"
"-862.0","1081.0"
"-863.0","1080.0"
"-864.0","1079.0"
"-865.0","1078.0"
"-866.0","1077.0"
"-867.0","1076.0"
"-868.0","1075.0"
"-869.0","1074.0"
"-870.0","1073.0"
"-871.0","1072.0"
"-872.0","1071.0"
"-873.0","1070.0"
"-874.0","1069.0"
"-875.0","1068.0"
"-876.0","1067.0"
"-877.0","1066.0"
"-878.0","1065.0"
"-879.0","1064.0"
"-880.0","1064.0"
"-881.0","1064.0"
"-882.0","1064.0"
"-883.0","1064.0"
"-884.0","1064.0"
"-885.0","1064.0"
"-886.0","1064.0"
"-887.0","1064.0"
"-888.0","1064.0"
"-889.0","1064.0"
"-890.0","1063.0"
"-891.0","1062.0"
"-892.0","1061.0"
"-893.0","1060.0"
"-894.0","1059.0"
"-895.0","1058.0"
"-896.0","1057.0"
"-897.0","1056.0"
"-898.0","1055.0"
"-899.0","1054.0"
"-900.0","1054.0"
"-901.0","1054.0"
"-902.0","1054.0"
"-903.0","1054.0"
"-904.0","1054.0"
"-905.0","1054.0"
"-906.0","1054.0"
"-907.0","1054.0"
"-908.0","1054.0"
"-909.0","1054.0"
"-910.0","1054.0"
"-911.0","1054.0"
"-912.0","1054.0"
"-913.0","1054.0"
"-914.0","1054.0"
"-915.0","1054.0"
"-916.0","1054.0"
"-917.0","1054.0"
"-918.0","1054.0"
"-919.0","1054.0"
"-920.0","1054.0"
"-921.0","1054.0"
"-922.0","1054.0"
"-923.0","1054.0"
"-924.0","1054.0"
"-925.0","1054.0"
"-926.0","1054.0"
"-927.0","1054.0"
"-928.0","1054.0"
"-929.0","1054.0"
"-930.0","1054.0"
"-931.0","1054.0"
"-932.0","1054.0"
"-933.0","1054.0"
"-934.0","1054.0"
"-935.0","1054.0"
"-936.0","1054.0"
"-937.0","1054.0"
"-938.0","1054.0"
"-939.0","1054.0"
"-940.0","1054.0"
"-941.0","1054.0"
"-942.0","1054.0"
"-943.0","1054.0"
"-944.0","1054.0"
"-945.0","1054.0"
"-946.0","1054.0"
"-947.0","1054.0"
"-948.0","1054.0"
"-949.0","1054.0"
"-950.0","1054.0"
"-951.0","1054.0"
"-952.0","1054.0"
"-953.0","1054.0"
"-954.0","1054.0"
"-955.0","1054.0"
"-956.0","1054.0"
"-957.0","1054.0"
"-958.0","1054.0"
"-959.0","1054.0"
"-960.0","1054.0"
"-961.0","1054.0"
"-962.0","1054.0"
"-963.0","1054.0"
"-964.0","1054.0"
"-965.0","1054.0"
"-966.0","1054.0"
"-967.0","1054.0"
"-968.0","1054.0"
"-969.0","1054.0"
"-970.0","1054.0"
"-971.0","1054.0"
"-972.0","1054.0"
"-973.0","1054.0"
"-974.0","1054.0"
"-975.0","1054.0"
"-976.0","1054.0"
"-977.0","1054.0"
"-978.0","1054.0"
"-979.0","1054.0"
"-980.0","1054.0"
"-981.0","1054.0"
"-982.0","1054.0"
"-983.0","1054.0"
"-984.0","1054.0"
"-985.0","1054.0"
"-986.0","1054.0"
"-987.0","1054.0"
"-988.0","1054.0"
"-989.0","1054.0"
"-990.0","1054.0"
"-991.0","1054.0"
"-992.0","1054.0"
"-993.0","1054.0"
"-994.0","1054.0"
"-995.0","1054.0"
"-996.0","1054.0"
"-997.0","1054.0"
"-998.0","1054.0"
"-999.0","1054.0"
"-1000.0","1054.0"
"-1001.0","1054.0"
"-1002.0","1054.0"
"-1003.0","1054.0"
"-1004.0","1054.0"
"-1005.0","1054.0"
"-1006.0","1054.0"
"-1007.0","1054.0"
"-1008.0","1054.0"
"-1009.0","1054.0"
"-1010.0","1054.0"
"-1011.0","1054.0"
"-1012.0","1054.0"
"-1013.0","1054.0"
"-1014.0","1054.0"
"-1015.0","1054.0"
"-1016.0","1054.0"
"-1017.0","1054.0"
"-1018.0","1054.0"
"-1019.0","1054.0"
"-1020.0","1054.0"
"-1021.0","1054.0"
"-1022.0","1054.0"
"-1023.0","1054.0"
"-1024.0","1054.0"
"-1025.0","1054.0"
"-1026.0","1054.0"
"-1027.0","1054.0"
"-1028.0","1054.0"
"-1029.0","1054.0"
"-1030.0","1054.0"
"-1031.0","1054.0"
"-1032.0","1054.0"
"-1033.0","1054.0"
"-1034.0","1054.0"
"-1035.0","1054.0"
"-1036.0","1054.0"
"-1037.0","1054.0"
"-1038.0","1054.0"
"-1039.0","1054.0"
"-1040.0","1053.0"
"-1041.0","1052.0"
"-1042.0","1051.0"
"-1043.0","1050.0"
"-1044.0","1049.0"
"-1045.0","1048.0"
"-1046.0","1047.0"
"-1047.0","1046.0"
"-1048.0","1045.0"
"-1049.0","1045.0"
"-1050.0","1045.0"
"-1051.0","1045.0"
"-1052.0","1045.0"
"-1053.0","1045.0"
"-1054.0","1045.0"
"-1055.0","1045.0"
"-1056.0","1045.0"
"-1057.0","1045.0"
"-1058.0","1045.0"
"-1059.0","1045.0"
"-1060.0","1045.0"
"-1061.0","1045.0"
"-1062.0","1045.0"
"-1063.0","1045.0"
"-1064.0","1045.0"
"-1065.0","1045.0"
"-1066.0","1045.0"
"-1067.0","1045.0"
"-1068.0","1045.0"
"-1069.0","1045.0"
"-1070.0","1044.0"
"-1071.0","1043.0"
"-1072.0","1042.0"
"-1073.0","1041.0"
"-1074.0","1041.0"
"-1075.0","1041.0"
"-1076.0","1040.0"
"-1077.0","1040.0"
"-1078.0","1040.0"
"-1079.0","1040.0"
"-1080.0","1040.0"
"-1081.0","1040.0"
"-1082.0","1040.0"
"-1083.0","1039.0"
"-1084.0","1038.0"
"-1085.0","1038.0"
"-1086.0","1038.0"
"-1087.0","1038.0"
"-1088.0","1038.0"
"-1089.0","1038.0"
"-1090.0","1038.0"
"-1091.0","1038.0"
"-1092.0","1038.0"
"-1093.0","1038.0"
"-1094.0","1038.0"
"-1095.0","1038.0"
"-1096.0","1038.0"
"-1097.0","1038.0"
"-1098.0","1038.0"
"-1099.0","1038.0"
"-1100.0","1038.0"
"-1101.0","1038.0"
"-1102.0","1038.0"
"-1103.0","1038.0"
"-1104.0","1038.0"
"-1105.0","1038.0"
"-1106.0","1038.0"
"-1107.0","1038.0"
"-1108.0","1038.0"
"-1109.0","1038.0"
"-1110.0","1038.0"
"-1111.0","1038.0"
"-1112.0","1038.0"
"-1113.0","1038.0"
"-1114.0","1038.0"
"-1115.0","1038.0"
"-1116.0","1038.0"
"-1117.0","1038.0"
"-1118.0","1038.0"
"-1119.0","1038.0"
"-1120.0","1038.0"
"-1121.0","1038.0"
"-1122.0","1038.0"
"-1123.0","1038.0"
"-1124.0","1038.0"
"-1125.0","1038.0"
"-1126.0","1038.0"
"-1127.0","1038.0"
"-1128.0","1038.0"
"-1129.0","1038.0"
"-1130.0","1038.0"
"-1131.0","1038.0"
"-1132.0","1038.0"
"-1133.0","1038.0"
"-1134.0","1038.0"
"-1135.0","1038.0"
"-1136.0","1038.0"
"-1137.0","1038.0"
"-1138.0","1037.0"
"-1139.0","1137.0"
"-1140.0","1136.0"
"-1141.0","1135.0"
"-1142.0","1134.0"
"-1143.0","1133.0"
"-1144.0","1132.0"
"-1145.0","1131.0"
"-1146.0","1130.0"
"-1147.0","1129.0"
"-1148.0","1128.0"
"-1149.0","1228.0"
"-1150.0","1227.0"
"-1151.0","1226.0"
"-1152.0","1225.0"
"-1153.0","1224.0"
"-1154.0","1224.0"
"-1155.0","1224.0"
"-1156.0","1224.0"
"-1157.0","1224.0"
"-1158.0","1224.0"
"-1159.0","1224.0"
"-1160.0","1224.0"
"-1161.0","1224.0"
"-1162.0","1224.0"
"-1163.0","1224.0"
"-1164.0","1224.0"
"-1165.0","1224.0"
"-1166.0","1224.0"
"-1167.0","1224.0"
"-1168.0","1224.0"
"-1169.0","1224.0"
"-1170.0","1224.0"
"-1171.0","1224.0"
"-1172.0","1224.0"
"-1173.0","1224.0"
"-1174.0","1224.0"
"-1175.0","1224.0"
"-1176.0","1224.0"
"-1177.0","1224.0"
"-1178.0","1224.0"
"-1179.0","1224.0"
"-1180.0","1224.0"
"-1181.0","1224.0"
"-1182.0","1224.0"
"-1183.0","1224.0"
"-1184.0","1224.0"
"-1185.0","1224.0"
"-1186.0","1224.0"
"-1187.0","1224.0"
"-1188.0","1224.0"
"-1189.0","1224.0"
"-1190.0","1224.0"
"-1191.0","1224.0"
"-1192.0","1224.0"
"-1193.0","1224.0"
"-1194.0","1224.0"
"-1195.0","1224.0"
"-1196.0","1224.0"
"-1197.0","1224.0"
"-1198.0","1224.0"
"-1199.0","1224.0"
"-1200.0","1224.0"
"-1201.0","1224.0"
"-1202.0","1224.0"
"-1203.0","1223.0"
"-1204.0","1222.0"
"-1205.0","1221.0"
"-1206.0","1220.0"
"-1207.0","1219.0"
"-1208.0","1218.0"
"-1209.0","1217.0"
"-1210.0","1216.0"
"-1211.0","1215.0"
"-1212.0","1214.0"
"-1213.0","1213.0"
"-1214.0","1213.0"
"-1215.0","1212.0"
"-1216.0","1211.0"
"-1217.0","1210.0"
"-1218.0","1310.0"
"-1219.0","1410.0"
"-1220.0","1409.0"
"-1221.0","1408.0"
"-1222.0","1407.0"
"-1223.0","1406.0"
"-1224.0","1405.0"
"-1225.0","1404.0"
"-1226.0","1504.0"
"-1227.0","1503.0"
"-1228.0","1502.0"
"-1229.0","1501.0"
"-1230.0","1500.0"
"-1231.0","1499.0"
"-1232.0","1498.0"
"-1233.0","1497.0"
"-1234.0","1496.0"
"-1235.0","1596.0"
"-1236.0","1696.0"
"-1237.0","1695.0"
"-1238.0","1694.0"
"-1239.0","1693.0"
"-1240.0","1793.0"
"-1241.0","1792.0"
"-1242.0","1792.0"
"-1243.0","1792.0"
"-1244.0","1791.0"
"-1245.0","1791.0"
"-1246.0","1891.0"
"-1247.0","1891.0"
"-1248.0","1891.0"
"-1249.0","1891.0"
"-1250.0","1891.0"
"-1251.0","1891.0"
"-1252.0","1891.0"
"-1253.0","1891.0"
"-1254.0","1891.0"
"-1255.0","1891.0"
"-1256.0","1891.0"
"-1257.0","1891.0"
"-1258.0","1891.0"
"-1259.0","1891.0"
"-1260.0","1891.0"
"-1261.0","1891.0"
"-1262.0","1891.0"
"-1263.0","1891.0"
"-1264.0","1891.0"
"-1265.0","1891.0"
"-1266.0","1991.0"
"-1267.0","1991.0"
"-1268.0","1991.0"
"-1269.0","1991.0"
"-1270.0","1991.0"
"-1271.0","1991.0"
"-1272.0","1991.0"
"-1273.0","1991.0"
"-1274.0","1991.0"
"-1275.0","1991.0"
"-1276.0","1991.0"
"-1277.0","1991.0"
"-1278.0","1991.0"
"-1279.0","1991.0"
"-1280.0","1991.0"
"-1281.0","1991.0"
"-1282.0","1991.0"
"-1283.0","1991.0"
"-1284.0","1991.0"
"-1285.0","2091.0"
"-1286.0","2090.0"
"-1287.0","2089.0"
"-1288.0","2088.0"
"-1289.0","2087.0"
"-1290.0","2086.0"
"-1291.0","2085.0"
"-1292.0","2084.0"
"-1293.0","2083.0"
"-1294.0","2083.0"
"-1295.0","2083.0"
"-1296.0","2083.0"
"-1297.0","2082.0"
"-1298.0","2081.0"
"-1299.0","2080.0"
"-1300.0","2080.0"
"-1301.0","2079.0"
"-1302.0","2078.0"
"-1303.0","2077.0"
"-1304.0","2177.0"
"-1305.0","2176.0"
"-1306.0","2175.0"
"-1307.0","2174.0"
"-1308.0","2173.0"
"-1309.0","2172.0"
"-1310.0","2171.0"
"-1311.0","2170.0"
"-1312.0","2169.0"
"-1313.0","2168.0"
"-1314.0","2167.0"
"-1315.0","2166.0"
"-1316.0","2165.0"
"-1317.0","2165.0"
"-1318.0","2165.0"
"-1319.0","2165.0"
"-1320.0","2165.0"
"-1321.0","2265.0"
"-1322.0","2264.0"
"-1323.0","2263.0"
"-1324.0","2262.0"
"-1325.0","2261.0"
"-1326.0","2361.0"
"-1327.0","2360.0"
"-1328.0","2359.0"
"-1329.0","2358.0"
"-1330.0","2357.0"
"-1331.0","2356.0"
"-1332.0","2355.0"
"-1333.0","2354.0"
"-1334.0","2353.0"
"-1335.0","2352.0"
"-1336.0","2351.0"
"-1337.0","2351.0"
"-1338.0","2350.0"
"-1339.0","2349.0"
"-1340.0","2348.0"
"-1341.0","2347.0"
"-1342.0","2346.0"
"-1343.0","2346.0"
"-1344.0","2346.0"
"-1345.0","2346.0"
"-1346.0","2346.0"
"-1347.0","2346.0"
"-1348.0","2346.0"
"-1349.0","2345.0"
"-1350.0","2345.0"
"-1351.0","2445.0"
"-1352.0","2445.0"
"-1353.0","2445.0"
"-1354.0","2445.0"
"-1355.0","2445.0"
"-1356.0","2445.0"
"-1357.0","2444.0"
"-1358.0","2443.0"
"-1359.0","2442.0"
"-1360.0","2441.0"
"-1361.0","2440.0"
"-1362.0","2540.0"
"-1363.0","2539.0"
"-1364.0","2538.0"
"-1365.0","2538.0"
"-1366.0","2538.0"
"-1367.0","2538.0"
"-1368.0","2538.0"
"-1369.0","2538.0"
"-1370.0","2538.0"
"-1371.0","2538.0"
"-1372.0","2538.0"
"-1373.0","2538.0"
"-1374.0","2538.0"
"-1375.0","2538.0"
"-1376.0","2538.0"
"-1377.0","2538.0"
"-1378.0","2538.0"
"-1379.0","2538.0"
"-1380.0","2538.0"
"-1381.0","2538.0"
"-1382.0","2538.0"
"-1383.0","2538.0"
"-1384.0","2538.0"
"-1385.0","2538.0"
"-1386.0","2538.0"
"-1387.0","2538.0"
"-1388.0","2538.0"
"-1389.0","2538.0"
"-1390.0","2538.0"
"-1391.0","2538.0"
"-1392.0","2538.0"
